question,answer
How do I reset my password?,Click on Forgot Password and follow the instructions sent to your email.
How can I contact support?,You can contact support through email or live chat available on our website.
What is your refund policy?,Refunds are processed within 7 business days after approval.
How do I update my profile?,Navigate to account settings and update your personal information.
How can I change my email address?,Go to settings and click Change Email.
What payment methods are accepted?,We accept credit cards debit cards and net banking.
How can I track my order?,Use the tracking number provided in your confirmation email.
Do you provide internships?,Yes we provide internship opportunities throughout the year.
How can I apply for internships?,Visit the careers page and submit your application online.
Is my personal data secure?,Yes we use industry standard encryption to secure user data.